Date,Index_Close,Index_return
31-05-2021,15582.7998,0.009533088
01-06-2021,15574.84961,-0.00051019
02-06-2021,15576.2002,8.67158E-05
03-06-2021,15690.34961,0.007328451
04-06-2021,15670.25,-0.001281017
07-06-2021,15751.65039,0.005194581
08-06-2021,15740.09961,-0.000733306
09-06-2021,15635.34961,-0.006654977
10-06-2021,15737.75,0.006549287
11-06-2021,15799.34961,0.003914131
14-06-2021,15811.84961,0.000791172
15-06-2021,15869.25,0.003630214
16-06-2021,15767.5498,-0.006408633
17-06-2021,15691.40039,-0.004829502
18-06-2021,15683.34961,-0.00051307
21-06-2021,15746.5,0.004026588
22-06-2021,15772.75,0.001667037
23-06-2021,15686.9502,-0.005439749
24-06-2021,15790.4502,0.006597841
25-06-2021,15860.34961,0.004426689
28-06-2021,15814.7002,-0.00287821
29-06-2021,15748.4502,-0.00418914
30-06-2021,15721.5,-0.001711292
01-07-2021,15680,-0.002639697
02-07-2021,15722.2002,0.002691339
05-07-2021,15834.34961,0.007133188
06-07-2021,15818.25,-0.001016752
07-07-2021,15879.65039,0.003881617
08-07-2021,15727.90039,-0.009556256
09-07-2021,15689.7998,-0.002422484
12-07-2021,15692.59961,0.000178447
13-07-2021,15812.34961,0.007630985
14-07-2021,15853.9502,0.002630892
15-07-2021,15924.2002,0.004431072
16-07-2021,15923.40039,-5.02257E-05
19-07-2021,15752.40039,-0.010738912
20-07-2021,15632.09961,-0.007636981
22-07-2021,15824.0498,0.012279233
23-07-2021,15856.0498,0.002022238
26-07-2021,15824.4502,-0.001992906
27-07-2021,15746.4502,-0.004929081
28-07-2021,15709.40039,-0.002352899
29-07-2021,15778.4502,0.004395445
30-07-2021,15763.0498,-0.000976039
02-08-2021,15885.15039,0.007746
03-08-2021,16130.75,0.015460956
04-08-2021,16258.7998,0.007938242
05-08-2021,16294.59961,0.002201873
06-08-2021,16238.2002,-0.003461234
09-08-2021,16258.25,0.001234731
10-08-2021,16280.09961,0.001343909
11-08-2021,16282.25,0.000132087
12-08-2021,16364.40039,0.005045395
13-08-2021,16529.09961,0.010064482
16-08-2021,16563.05078,0.002054024
17-08-2021,16614.59961,0.003112279
18-08-2021,16568.84961,-0.002753602
20-08-2021,16450.5,-0.007142898
23-08-2021,16496.44922,0.002793181
24-08-2021,16624.59961,0.007768362
25-08-2021,16634.65039,0.000604573
26-08-2021,16636.90039,0.00013526
27-08-2021,16705.19922,0.004105262
30-08-2021,16931.05078,0.013519837
31-08-2021,17132.19922,0.011880446
01-09-2021,17076.25,-0.003265735
02-09-2021,17234.15039,0.009246784
03-09-2021,17323.59961,0.005190231
06-09-2021,17377.80078,0.003128748
07-09-2021,17362.09961,-0.000903519
08-09-2021,17353.5,-0.000495309
09-09-2021,17369.25,0.000907598
13-09-2021,17355.30078,-0.000803099
14-09-2021,17380,0.001423151
15-09-2021,17519.44922,0.008023545
16-09-2021,17629.5,0.006281635
17-09-2021,17585.15039,-0.002515648
20-09-2021,17396.90039,-0.010705055
21-09-2021,17562,0.009490174
22-09-2021,17546.65039,-0.000874024
23-09-2021,17822.94922,0.015746528
24-09-2021,17853.19922,0.00169725
27-09-2021,17855.09961,0.000106445
28-09-2021,17748.59961,-0.005964682
29-09-2021,17711.30078,-0.002101508
30-09-2021,17618.15039,-0.005259376
01-10-2021,17532.05078,-0.004886983
04-10-2021,17691.25,0.009080468
05-10-2021,17822.30078,0.007407661
06-10-2021,17646,-0.009892145
07-10-2021,17790.34961,0.008180302
08-10-2021,17895.19922,0.005893623
11-10-2021,17945.94922,0.002835956
12-10-2021,17991.94922,0.002563253
13-10-2021,18161.75,0.009437598
14-10-2021,18338.55078,0.009734788
18-10-2021,18477.05078,0.007552396
19-10-2021,18418.75,-0.003155308
20-10-2021,18266.59961,-0.008260625
21-10-2021,18178.09961,-0.004844908
22-10-2021,18114.90039,-0.003476668
25-10-2021,18125.40039,0.000579633
26-10-2021,18268.40039,0.007889481
27-10-2021,18210.94922,-0.003144839
28-10-2021,17857.25,-0.019422338
29-10-2021,17671.65039,-0.010393516
01-11-2021,17929.65039,0.014599655
02-11-2021,17888.94922,-0.002270048
03-11-2021,17829.19922,-0.003340051
04-11-2021,17916.80078,0.004913376
08-11-2021,18068.55078,0.008469704
09-11-2021,18044.25,-0.001344921
10-11-2021,18017.19922,-0.001499136
11-11-2021,17873.59961,-0.007970141
12-11-2021,18102.75,0.012820607
15-11-2021,18109.44922,0.000370066
16-11-2021,17999.19922,-0.006087982
17-11-2021,17898.65039,-0.005586295
18-11-2021,17764.80078,-0.007478196
22-11-2021,17416.55078,-0.019603372
23-11-2021,17503.34961,0.004983698
24-11-2021,17415.05078,-0.005044682
25-11-2021,17536.25,0.006959453
26-11-2021,17026.44922,-0.029071254
29-11-2021,17053.94922,0.001615134
30-11-2021,16983.19922,-0.004148599
01-12-2021,17166.90039,0.010816641
02-12-2021,17401.65039,0.013674571
03-12-2021,17196.69922,-0.011777686
06-12-2021,16912.25,-0.01654092
07-12-2021,17176.69922,0.015636549
08-12-2021,17469.75,0.017060949
09-12-2021,17516.84961,0.002696067
10-12-2021,17511.30078,-0.000316771
13-12-2021,17368.25,-0.008169055
14-12-2021,17324.90039,-0.002495911
15-12-2021,17221.40039,-0.00597406
16-12-2021,17248.40039,0.001567817
17-12-2021,16985.19922,-0.015259454
20-12-2021,16614.19922,-0.021842546
21-12-2021,16770.84961,0.009428705
22-12-2021,16955.44922,0.011007171
23-12-2021,17072.59961,0.006909306
24-12-2021,17003.75,-0.004032755
27-12-2021,17086.25,0.004851871
28-12-2021,17233.25,0.008603409
29-12-2021,17213.59961,-0.00114026
30-12-2021,17203.94922,-0.000560626
31-12-2021,17354.05078,0.008724832
03-01-2022,17625.69922,0.015653316
04-01-2022,17805.25,0.010186874
05-01-2022,17925.25,0.006739585
